year,round,circuit_ref,circuit_type,driver_code,constructor_ref,grid_position,finish_position,is_dnf,pos_gain,points_scored,laps_completed,status_finished,pace_delta_ms,avg_fast_corner_kmh,avg_medium_corner_kmh,avg_slow_corner_kmh,avg_speed_kmh,full_throttle_pct,min_speed_kmh,top_speed_kmh,avg_lap_ms,min_lap_ms,std_lap_ms,total_valid_laps,avg_tyre_life,max_tyre_life,personal_bests,soft_pct,medium_pct,hard_pct,lap_consistency,pb_rate,s1_best_ms,s2_best_ms,s3_best_ms,total_best_ms,s1_delta_ms,s2_delta_ms,s3_delta_ms,total_sector_delta_ms,ct_desert,ct_high_speed,ct_mixed,ct_street,lap_time_delta_pct,best_lap_delta_pct,grid_position_pct,top3_finish
2022,2,jeddah,desert,GAS,alphatauri,0,8,0,,4.0,50,1,5.729526121057119,,,,,,,,102444.78,93468.0,16121.94083911736,50.0,0.0,0.0,0.0,0.0,0.0,0.0,0.15737200898979295,0.0,,,,,,,,,1,0,0,0,-0.013293199971886488,0.195635977724298,-0.05263157894736842,0
2022,2,jeddah,desert,MAG,haas,0,9,0,,2.0,50,1,2.91,,,,,,,,102472.02,92779.0,17433.704830059287,50.0,0.0,0.0,0.0,0.0,0.0,0.0,0.17013136688492417,0.0,,,,,,,,,1,0,0,0,0.013293199971900689,-0.5429568368074352,-0.05263157894736842,0
2022,2,jeddah,desert,HAM,mercedes,0,10,0,,1.0,50,1,6.555617460021749,,,,,,,,102664.82,92997.0,16758.47229617403,50.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1632348091213137,0.0,,,,,,,,,1,0,0,0,0.20146713202627875,-0.3092656414984108,-0.05263157894736842,0
2022,2,jeddah,desert,ZHO,alfa,0,11,0,,0.0,50,1,7.0586927056012065,,,,,,,,102830.16,93924.0,16281.71930118097,50.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1583360300244692,0.0,,,,,,,,,1,0,0,0,0.36283994284510523,0.6844579275450097,-0.05263157894736842,0
2022,2,jeddah,desert,HUL,aston_martin,0,12,0,,0.0,50,1,6.641375187687692,,,,,,,,103020.7,93651.0,16535.78118005599,50.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1605093071592019,0.0,,,,,,,,,1,0,0,0,0.5488081016295423,0.3918079444286625,-0.05263157894736842,0
2022,2,jeddah,desert,STR,aston_martin,0,13,0,,0.0,49,1,6.641375187687692,,,,,,,,103548.1836734694,94446.0,14782.99398474684,49.0,0.0,0.0,0.0,0.0,0.0,0.0,0.14276439682770087,0.0,,,,,,,,,1,0,0,0,1.0636352641358826,1.2440304227345087,-0.05263157894736842,0
2022,2,jeddah,desert,ALB,williams,0,14,0,,0.0,47,1,2.594666666666657,,,,,,,,103261.76595744681,94368.0,14600.282219149598,47.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1413909793598362,0.0,,,,,,,,,1,0,0,0,0.7840898915528823,1.1604161418441237,-0.05263157894736842,0
2022,2,jeddah,desert,BOT,alfa,0,15,0,,0.0,36,1,7.0586927056012065,,,,,,,,104390.94444444444,93979.0,19231.145039744322,36.0,0.0,0.0,0.0,0.0,0.0,0.0,0.18422234938183646,0.0,,,,,,,,,1,0,0,0,1.886174725004923,0.7434167153523323,-0.05263157894736842,0
2022,2,jeddah,desert,ALO,alpine,0,16,0,,0.0,35,1,6.582649742002061,,,,,,,,103329.97142857143,93831.0,18936.589039220766,35.0,0.0,0.0,0.0,0.0,0.0,0.0,0.18326327567322517,0.0,,,,,,,,,1,0,0,0,0.8506588318492528,0.5847639772526277,-0.05263157894736842,0
2022,2,jeddah,desert,RIC,mclaren,0,17,0,,0.0,35,1,7.61970496534821,,,,,,,,103583.71428571429,94487.0,17220.128069776252,35.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1662435855725166,0.0,,,,,,,,,1,0,0,0,1.0983133503102682,1.2879815190999673,-0.05263157894736842,0
