constructor,state_variable,mean_z_score,std_z_score,pct_unstable,sign_stability_pct,classification
alpha_tauri,continuous_pct_coef,1.84355173787066,1.0179865961640173,45.16129032258064,93.33333333333333,weak
alpha_tauri,throttle_pct_coef,1.3172616030346231,1.2972948029071263,32.35294117647059,75.75757575757575,weak
alpha_tauri,street_circuit_coef,0.9554015362987289,1.14882443320554,19.047619047619047,67.74193548387098,weak
alpha_tauri,desert_circuit_coef,0.45652419392306437,1.3329051226906736,20.454545454545457,53.48837209302326,weak
alpha_tauri,hybrid_circuit_coef,0.9421082227509107,1.203391598353274,18.75,61.702127659574465,weak
alpha_tauri,temp_circuit_coef,0.5259758898504405,1.475146804394768,13.513513513513514,61.11111111111111,weak
alfa_romeo,base_intercept,2.330727608533191,1.1789399343475657,55.172413793103445,100.0,weak
alfa_romeo,top_speed_coef,1.850848944690689,1.0243577114567686,53.70370370370371,88.67924528301887,weak
alfa_romeo,continuous_pct_coef,1.710075592468683,1.1757496021078244,47.76119402985074,84.84848484848484,weak
alfa_romeo,throttle_pct_coef,1.0054230450501433,1.2172614971578293,26.666666666666668,62.16216216216216,weak
alfa_romeo,street_circuit_coef,0.7324402312624744,1.2318100232353855,20.454545454545457,46.51162790697675,weak
alfa_romeo,desert_circuit_coef,0.7938253669265676,1.2644507123427997,15.217391304347828,66.66666666666667,weak
alfa_romeo,hybrid_circuit_coef,1.1220144091234265,1.1194279427225218,22.727272727272727,60.46511627906977,weak
alfa_romeo,temp_circuit_coef,0.8143646662222508,1.2895687443521922,25.925925925925924,50.943396226415096,weak
haas,base_intercept,2.3848307425543194,1.166834145575105,62.264150943396224,92.3076923076923,weak
haas,top_speed_coef,1.9717675907320527,1.2951289737154157,51.515151515151516,90.76923076923077,weak
haas,continuous_pct_coef,1.9766622342821443,1.2184847365668043,48.05194805194805,94.73684210526316,weak
haas,throttle_pct_coef,1.2723265803362824,1.2449750506742476,31.16883116883117,80.26315789473685,weak
haas,street_circuit_coef,0.7862260379662672,1.0209352752777106,8.333333333333332,61.016949152542374,weak
haas,desert_circuit_coef,0.5711471476401543,1.1855651002240633,17.391304347826086,61.76470588235294,weak
haas,hybrid_circuit_coef,0.7900926485616986,0.9474758878349269,9.836065573770492,63.333333333333336,weak
haas,temp_circuit_coef,1.3538524324243606,1.2078480546668258,34.61538461538461,80.3921568627451,weak
williams,base_intercept,2.337437532045512,1.3030756724141828,64.28571428571429,92.72727272727273,weak
williams,top_speed_coef,1.9870461554100889,1.1330244500810194,54.054054054054056,94.44444444444444,weak
williams,continuous_pct_coef,1.84754259073446,1.0721020327461759,53.84615384615385,87.5,weak
williams,throttle_pct_coef,1.103920293167119,1.2800784950657258,33.33333333333333,68.42105263157895,weak
williams,street_circuit_coef,0.6084450476613317,1.0289426740633265,13.461538461538462,58.82352941176471,weak
williams,desert_circuit_coef,0.7017221348023431,1.244291378015605,23.809523809523807,58.064516129032256,weak
williams,hybrid_circuit_coef,0.7658832994322234,1.1099487704541715,18.181818181818183,65.11627906976744,weak
williams,temp_circuit_coef,0.5983095026422994,1.2736529651293749,17.105263157894736,62.666666666666664,weak
